puzzle,FEN,move,rating,ratingDEV,popularity,NB plays ,themes,url,
6bi9E,4R3/p4p2/1p1b2kp/1P4pN/3P2P1/7P/1r6/5K2 b - - 4 42,b2b5 e8g8 g6h7 h5f6,1393,78,94,5927,endgame master mate mateIn2 short,https://lichess.org/2yj8w4aY/black#84,
6biFl,8/8/3r3p/6p1/5p2/5B1P/2k3P1/3nR1K1 w - - 43 57,f3d1 d6d1 e1d1 c2d1 g1f2 h6h5,2230,89,88,31,crushing defensiveMove endgame long,https://lichess.org/m35MFyKM#113,
6biHp,r4n2/ppp1b1k1/8/3Qp2p/6p1/2P1q1B1/P5PP/3R3K b - - 1 30,e3c3 g3e5 c3e5 d5e5,1061,76,88,70,crushing fork middlegame short,https://lichess.org/cap3UOm4/black#60,
6biKu,1k1r4/p1pb1p1p/Q1pb1q2/3p4/8/1P3N2/P1PNK1PP/R6R w - - 4 17,a1e1 d8e8 e2f1 e8e1 f1e1 f6a1 e1e2 a1h1,1732,75,96,19242,advantage attraction exposedKing middlegame pin skewer veryLong,https://lichess.org/pOGeWWyI#33,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Modern_Variation
6biM8,q1r1n1k1/1b1n1ppp/1PNPpb2/1P6/2Q5/p1N1P3/P1K2PPP/3R1B1R w - - 5 22,c2b3 b7c6 b5c6 c8c6,2136,76,93,2627,crushing middlegame short,https://lichess.org/99rvP3PE#43,
6biZ1,6k1/p1r1qpp1/1p2b2p/3pN3/3Pn3/P2BP3/1P3PPP/3Q1RK1 w - - 2 23,d1b1 e4d2 b1d1 d2f1,938,96,55,46,advantage fork middlegame short,https://lichess.org/hOpPQLWI#45,
6bieX,3rr1k1/1p5p/2b3p1/p7/4pNQ1/PR1p2R1/1Pq2PP1/6K1 b - - 1 29,c2b3 f4g6 d8d7 g6e7 g8f7 e7c6,2346,167,27,8,advantage doubleCheck long middlegame,https://lichess.org/C2oCU1SX/black#58,
6bigG,5rk1/pppb2pp/8/3p4/P2P2qP/RP2PpP1/5P1K/3Q1R2 w - - 1 26,f1h1 g4h3 h2g1 h3g2,1084,95,78,30,endgame mate mateIn2 short,https://lichess.org/4pK6GR1Z#51,
6bih8,4r1k1/4np2/3qbn1p/6p1/3P1p2/2PQ1N2/PrBB2PP/4RRK1 w - - 2 22,a2a4 e6f5 e1e7 f5d3,1769,74,90,1368,crushing master masterVsMaster middlegame short,https://lichess.org/jHqRhrgJ#43,
6bimF,8/3k1p2/p4pn1/3P1Np1/P7/6P1/5PK1/8 b - - 6 35,g6e7 f5e7 d7e7 g2f3 e7d6 f3e4 g5g4 e4d4,2257,86,89,386,crushing defensiveMove endgame knightEndgame veryLong,https://lichess.org/SihgriPa/black#70,
6binX,6k1/5p1p/R7/3pP1p1/3P4/4KPP1/br2B2P/8 w - - 0 35,g3g4 b2e2 e3e2 a2c4 e2d1 c4a6,1379,76,86,237,advantage attraction endgame fork long sacrifice,https://lichess.org/a4j6DRMk#69,
6bio9,5k2/p6R/5bP1/5B2/2p2p2/P7/KPP5/4q1N1 w - - 3 31,g1h3 e1e5 h7f7 f8g8 f7f6 e5f6,2304,84,91,1475,crushing endgame long,https://lichess.org/qrxJVuu0#61,
6bisc,6k1/8/p5p1/1p2p1bp/1P6/P3BP1P/4K1P1/8 b - - 0 36,g5e3 e2e3 g8f7 e3e4 f7f6 g2g4 h5g4 f3g4,2600,86,84,86,crushing endgame veryLong,https://lichess.org/H1sEDXWM/black#72,
6biv2,5rk1/p1p3pp/8/3p4/B2Pp3/2P1Q2q/P1P1KPr1/R4R2 w - - 0 27,a1b1 f8f3 e2d1 f3e3 b1b8 g8f7 f2e3 f7g6,2093,76,87,335,crushing defensiveMove middlegame veryLong,https://lichess.org/BPPvTzxx#53,
6bixM,6k1/pp1r3p/2p3p1/P2nPpB1/8/8/1P3PPP/4R1K1 b - - 0 25,g8f7 e5e6 f7e8 e6d7,589,91,77,242,advancedPawn advantage doubleCheck endgame fork short,https://lichess.org/SyyXtL2B/black#50,
6bj0b,8/6kp/p2q2n1/8/2P5/P1P1Q3/1P3PPP/6K1 w - - 3 36,c4c5 d6d1 e3e1 d1e1,423,106,97,610,endgame mate mateIn2 short,https://lichess.org/FvKJn7CS#71,
6bj7j,r1bk1b1r/2pn3q/p1n1pPpB/1p1pP1Q1/3P4/P1NB4/1PP1N1P1/R3K2R w KQ - 3 17,e1c1 f8h6 g5h6 h7h6 h1h6 h8h6,1147,78,93,234,advantage long middlegame pin,https://lichess.org/5B1aPU1F#33,French_Defense French_Defense_Steinitz_Variation
6bjFl,2rk4/1R1P1p2/p3n1p1/3KP2p/2P5/8/P5PP/8 b - - 0 37,c8c5 d5d6 c5c6 d6c6,932,95,83,277,crushing endgame short,https://lichess.org/lBUJcKWH/black#74,
6bjGs,2r5/1k5p/1p1P1p2/1p6/1P2PB1P/2RK1b2/8/8 b - - 0 48,f3e4 d3e4 c8c3 d6d7 f6f5 e4d4,2005,74,91,3086,advancedPawn crushing endgame long sacrifice,https://lichess.org/Y0tIY12g/black#96,
6bjHf,7k/1R6/5p2/1p1KpPp1/6P1/7P/8/r7 b - - 1 50,b5b4 d5e6 a1a6 e6f7,1832,82,68,35,crushing defensiveMove endgame master rookEndgame short,https://lichess.org/jd9AMvvU/black#100,
6bjK5,8/3b4/4kp2/pNrp2p1/P6p/2PK1PP1/7P/1R6 b - - 5 42,c5c4 b1e1 e6f7 b5d6,1678,74,95,6128,crushing endgame master short,https://lichess.org/ysKcJrVc/black#84,
6bjKe,r2q1rk1/1b3ppp/p3pn2/1pp1N3/3p3N/1P1P2R1/P3B1PP/2Q4K b - - 3 21,d8d5 g3g7 g8g7 c1g5 g7h8 g5f6,2222,80,91,222,advantage attraction deflection kingsideAttack long middlegame sacrifice,https://lichess.org/ideTr8kH/black#42,
6bjP5,r4rk1/pp3ppp/2p5/3p2q1/1PnN1P2/P2QP2P/2P3P1/R4RK1 b - - 0 18,g5g3 d4f5 g3g6 f5e7 g8h8 e7g6,1617,79,96,21034,crushing fork long middlegame,https://lichess.org/0w65Iq3w/black#36,Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation
6bjPv,r4rk1/1ppn1qp1/1p1p3p/3P4/8/2B2R1P/PP3PP1/R2Q2K1 b - - 0 21,f7g6 f3g3 g6g3 f2g3,1635,76,89,76,crushing middlegame short,https://lichess.org/VPYP1Ouj/black#42,
6bjRe,8/r3kp2/R3p2p/P1NpP3/1K1n1pPP/8/5P2/8 b - - 0 42,a7a6 c5a6 d4c6 b4b5 c6e5 a6c5,2149,76,59,72,crushing endgame long,https://lichess.org/atGaWhDS/black#84,
6bjU9,8/pkp5/1pq1p1Q1/3bR3/8/1P6/PBP2r2/1K2R3 w - - 6 38,g6g3 c6c2 b1a1 c2b2,833,99,88,445,mate mateIn2 middlegame short,https://lichess.org/qYRilUP7#75,
6bjXU,r7/4P1p1/3N3p/1N3Pk1/1P1p4/4b2p/3r4/5R1K b - - 2 48,a8a2 d6e4 g5g4 e4d2,1444,76,84,200,crushing endgame fork short,https://lichess.org/jXPLRuD3/black#96,
6bjYA,3q2k1/1r1n1pp1/2R1p2p/pN6/Pp3Pn1/6P1/1Q5P/3R2K1 b - - 1 28,g4e3 b2c1 e3d1 c6c8,2333,75,92,1250,crushing middlegame pin sacrifice short,https://lichess.org/hA8cLs0r/black#56,
6bjZr,2kr1b1r/pp2pppp/5n2/1B2n3/3P2b1/4B3/PP3PPP/RN2K2R w KQ - 0 11,d4e5 d8d1,443,111,90,592,master mate mateIn1 middlegame oneMove,https://lichess.org/el288dNI#21,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit_Declined
6bjaw,2r1r1kb/pq2pp1p/3p2pB/1pp5/3nP3/1P1PN1P1/P2QNPK1/2R2R2 w - - 1 23,g2h2 d4f3 h2g2 f3d2,913,82,86,143,crushing fork middlegame short,https://lichess.org/P58uTBaX#45,
6bjcC,r1b1k1nr/1ppp1ppp/p2b4/8/3pPq2/2P4P/PP1PBPP1/RNBQ1RK1 w kq - 1 9,d2d3 f4h2,822,81,100,82,mate mateIn1 oneMove opening,https://lichess.org/KK1qNYqI#17,Ruy_Lopez Ruy_Lopez_Bird_Variation
6bjfH,r4rk1/1pq5/n1p3RQ/2P5/3P4/1P6/5PPP/6K1 b - - 2 29,c7g7 g6g7,611,97,100,134,endgame mate mateIn1 oneMove,https://lichess.org/VAFsa8KN/black#58,
6bjyE,r1b2rk1/p1p1qppp/2p2n2/8/2B1P3/2N5/PPP2PPP/R2Q1RK1 w - - 1 12,f2f3 e7c5 f1f2 c5c4,1094,80,85,217,advantage fork middlegame short,https://lichess.org/8PKH82ZY#23,Scotch_Game Scotch_Game_Schmidt_Variation
6bjzR,r1b1kbnr/pp1n2pp/2p5/4q1B1/4N3/2PQPN2/PP3PPP/R3K2R b KQkq - 2 12,e5f5 e4d6 f8d6 d3f5,1146,75,84,345,advantage discoveredAttack fork middlegame short,https://lichess.org/iMv7OFzU/black#24,Horwitz_Defense Horwitz_Defense_Other_variations
6bk4W,r4rk1/1p3ppp/1qn1b3/p5N1/3p4/P5P1/1PQ1PPBP/2R2RK1 b - - 5 17,e6b3 c2h7,725,84,82,196,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/xA4uvAFH/black#34,Queens_Gambit_Declined Queens_Gambit_Declined_Tarrasch_Defense
6bk6g,8/6p1/3k4/1r1P1pPp/2p2K2/2P5/1P1R4/8 w - - 0 39,f4f5 b5d5 d2d5 d6d5,630,86,100,410,crushing endgame rookEndgame short,https://lichess.org/FtCvAmJY#77,
6bk6w,5rk1/3b1ppp/3p4/2pN4/8/r2PR1P1/5P1P/1R4K1 b - - 2 27,d7f5 d5e7 g8h8 e7f5,1196,225,0,4,advantage endgame fork short,https://lichess.org/xo6ZTzsg/black#54,
6bk82,4q1k1/1Q3p1p/p5p1/8/2p2NnP/6P1/PPPBr3/R5K1 w - - 2 25,a1d1 e2d2 d1d2 e8e1 g1g2 e1d2,1558,75,85,818,attraction clearance crushing exposedKing fork long middlegame sacrifice,https://lichess.org/ulXC9ytg#49,
6bk9C,r3r1k1/1bpp2p1/p6p/2p1qPpQ/4P3/1P1P2P1/P1PN3P/R4RK1 w - - 0 20,d2c4 e5d4 g1g2 e8e4 d3e4 d4e4,2395,86,82,53,advantage discoveredAttack kingsideAttack long middlegame sacrifice,https://lichess.org/vHXEuGpq#39,
6bkG9,8/8/8/4K3/p4P2/8/8/6k1 w - - 0 51,f4f5 a4a3 e5d6 a3a2 d6e7 a2a1q,615,108,44,33,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/gBaeo7w8#101,
6bkMy,5k2/1pb2pp1/1p5p/2pP1N2/5P2/6P1/rP2R2P/6K1 b - - 0 24,c5c4 d5d6 c7d6 f5d6,1325,169,9,12,crushing endgame short,https://lichess.org/w5JjxKRX/black#48,
6bkRc,4Q2k/p5pp/3b4/P7/1P1N4/2r4q/4KR2/8 b - - 2 37,d6f8 f2f8,410,93,71,208,backRankMate endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/txYhumcr/black#74,
6bkTn,5r1k/6p1/3Q3p/1P6/1Nq5/8/6PP/R4q1K w - - 0 34,a1f1 c4f1,623,83,48,153,endgame mate mateIn1 oneMove,https://lichess.org/jtBkI3zt#67,
6bkUz,r5k1/p2q1b1p/1p3Rp1/3P4/2BQ2p1/8/PP5P/6K1 b - - 0 26,a8d8 f6f7 d7f7 d5d6,1458,76,95,18561,crushing endgame master pin sacrifice short,https://lichess.org/6Skzwix3/black#52,
6bkXm,5kr1/2p4p/p2p2q1/2p2p2/2P4b/1PN2PnP/P2Qr1PK/R1B3R1 w - - 6 25,c3e2 g3f1 h2h1 f1d2,1884,88,86,25,advantage middlegame short,https://lichess.org/6RLfpIeA#49,
6bkb0,2r3k1/p3ppbp/1p1q2p1/3P4/2B1P3/1RPQ1P2/P5PP/6K1 w - - 3 25,g2g3 d6c5 g1f1 c5c4 d3c4 c8c4,1151,76,81,118,advantage endgame long,https://lichess.org/vmKxeq2C#49,
6bkb8,2k3n1/ppp1bNpp/8/5q2/8/2PbB3/PP1R1PPP/3R2K1 b - - 9 17,d3e4 d2d8 e7d8 d1d8,743,79,100,338,mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/NVhTKXfs/black#34,Nimzowitsch_Defense Nimzowitsch_Defense_Scandinavian_Variation
